bt,ownerNo,modelYear,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City,price_in_lakhs
Hatchback,3,2015,Petrol,Third Party insurance,120000,Manual,2015,23,5,Bangalore,4.0
SUV,2,2018,Petrol,Comprehensive,32706,Manual,2018,17,5,Bangalore,8.11
Hatchback,1,2018,Petrol,Comprehensive,11949,Manual,2018,23,5,Bangalore,5.85
Sedan,1,2014,Petrol,Comprehensive,17794,Manual,2014,19,5,Bangalore,4.62
SUV,1,2015,Diesel,Third Party insurance,60000,Manual,2015,23,5,Bangalore,7.9
SUV,1,2020,Diesel,Third Party insurance,20000,Manual,2020,17,6,Bangalore,19.0
Hatchback,1,2017,Petrol,Comprehensive,37772,Manual,2017,20,5,Bangalore,3.45
SUV,1,2021,Petrol,Third Party insurance,30000,Automatic,2021,18,7,Bangalore,12.0
Sedan,1,2018,Petrol,Comprehensive,37000,Automatic,2018,20,4,Bangalore,9.6
Hatchback,1,2017,Petrol,Comprehensive,11949,Manual,2017,23,5,Bangalore,5.85
Hatchback,1,2018,Petrol,Third Party insurance,50000,Manual,2018,21,5,Bangalore,6.9
Hatchback,1,2019,Petrol,Third Party insurance,24887,Automatic,2019,18,4,Bangalore,6.82
Hatchback,1,2018,Petrol,Comprehensive,23000,Automatic,2018,18,5,Bangalore,8.25
Hatchback,1,2018,Petrol,Comprehensive,48928,Automatic,2018,23,5,Bangalore,5.95
SUV,3,2014,Diesel,Comprehensive,108862,Manual,2014,15,6,Bangalore,6.9
SUV,1,2018,Diesel,Third Party insurance,80000,Manual,2018,17,6,Bangalore,13.5
SUV,1,2022,Diesel,Comprehensive,16000,Automatic,2022,19,8,Bangalore,55.95
Hatchback,2,2014,Diesel,Comprehensive,65376,Manual,2014,21,6,Bangalore,5.21
SUV,1,2022,Petrol,Third Party insurance,10000,Manual,2022,17,6,Bangalore,10.05
Sedan,2,2016,Petrol,Comprehensive,67000,Manual,2016,17,5,Bangalore,7.75
Sedan,3,2011,Diesel,Third Party insurance,100000,Automatic,2011,18,6,Bangalore,22.0
Hatchback,1,2016,Petrol,Comprehensive,18083,Manual,2016,22,5,Bangalore,5.82
SUV,1,2020,Petrol,Third Party insurance,30000,Manual,2020,16,5,Bangalore,10.9
Hatchback,2,2016,Petrol,Comprehensive,57634,Manual,2016,23,5,Bangalore,4.57
Sedan,2,2016,Petrol,Third Party insurance,50000,Automatic,2016,7,7,Bangalore,49.0
Sedan,1,2015,Petrol,Third Party insurance,110000,Manual,2015,17,5,Bangalore,5.5
Hatchback,1,2018,Petrol,Comprehensive,23447,Automatic,2018,20,5,Bangalore,5.7
Hatchback,2,2009,LPG,Third Party insurance,30000,Manual,2009,13,5,Bangalore,2.2
Sedan,1,2017,Petrol,Comprehensive,33000,Automatic,2017,15,9,Bangalore,41.45
SUV,2,2014,Diesel,Third Party insurance,87667,Manual,2014,15,6,Bangalore,8.61
Sedan,2,2016,Diesel,Third Party insurance,40000,Automatic,2016,17,8,Bangalore,17.85
SUV,2,2014,Diesel,Comprehensive,79012,Manual,2014,15,6,Bangalore,8.03
SUV,1,2021,Diesel,Comprehensive,31344,Manual,2021,17,6,Bangalore,25.65
Sedan,1,2018,Petrol,Third Party insurance,50000,Manual,2018,20,5,Bangalore,6.74
Hatchback,1,2015,Petrol,Comprehensive,12434,Manual,2015,20,5,Bangalore,3.49
MUV,2,2019,Petrol,Third Party insurance,60000,Manual,2019,19,5,Bangalore,10.5
Sedan,1,2019,Diesel,Comprehensive,12000,Automatic,2019,12,9,Bangalore,44.25
Hatchback,2,2015,Petrol,Comprehensive,40987,Manual,2015,20,5,Bangalore,4.06
Sedan,1,2020,Petrol,Zero Depreciation,18157,Automatic,2020,15,8,Bangalore,49.65
SUV,3,2011,Diesel,Third Party insurance,120000,Manual,2011,11,5,Bangalore,11.0
SUV,2,2020,Diesel,Third Party insurance,40000,Automatic,2020,19,6,Bangalore,11.0
Hatchback,1,2016,Petrol,Comprehensive,89667,Manual,2016,18,5,Bangalore,5.94
Hatchback,1,2017,Diesel,Third Party insurance,120000,Manual,2017,22,6,Bangalore,7.1
Hatchback,1,2017,Petrol,Zero Depreciation,56997,Manual,2017,21,5,Bangalore,6.92
Sedan,1,2013,Petrol,Third Party insurance,120000,Manual,2013,16,6,Bangalore,6.5
Sedan,1,2015,Diesel,Third Party insurance,59000,Automatic,2015,18,7,Bangalore,20.9
Hatchback,1,2021,Petrol,Zero Depreciation,18835,Manual,2021,22,5,Bangalore,4.11
SUV,2,2010,Diesel,Third Party insurance,120000,Manual,2010,12,5,Bangalore,6.5
Hatchback,1,2016,Petrol,Comprehensive,40000,Automatic,2016,17,7,Bangalore,36.75
Hatchback,1,2019,Petrol,Comprehensive,60932,Manual,2019,23,5,Bangalore,6.1
SUV,2,2020,Petrol,Comprehensive,33539,Automatic,2020,16,7,Bangalore,16.75
Hatchback,2,2018,Petrol,Comprehensive,66837,Manual,2018,23,5,Bangalore,5.3
Sedan,1,2022,Diesel,Third Party insurance,400,Automatic,2022,19,9,Bangalore,79.9
Hatchback,2,2008,Petrol,Third Party insurance,60000,Manual,2008,19,5,Bangalore,2.5
Hatchback,1,2019,Petrol,Third Party insurance,44285,Manual,2019,18,5,Bangalore,7.15
SUV,2,2014,Diesel,Third Party insurance,100000,Automatic,2014,11,7,Bangalore,35.0
SUV,1,2021,Diesel,Comprehensive,25000,Automatic,2021,14,6,Bangalore,22.5
Hatchback,1,2018,Petrol,Comprehensive,36735,Manual,2018,18,5,Bangalore,6.25
SUV,1,2015,Diesel,Comprehensive,79000,Automatic,2015,12,8,Bangalore,26.95
SUV,2,2010,Diesel,Third Party insurance,120000,Manual,2010,12,5,Bangalore,6.5
Hatchback,1,2022,Petrol,Third Party insurance,10000,Automatic,2022,22,5,Bangalore,5.5
SUV,1,2018,Diesel,Comprehensive,53645,Manual,2018,21,6,Bangalore,8.25
Hatchback,2,2006,Petrol,Third Party insurance,100000,Manual,2006,15,5,Bangalore,2.2
Hatchback,1,2014,Petrol,Comprehensive,53982,Automatic,2014,26,5,Bangalore,4.28
Sedan,1,2014,Diesel,Third Party insurance,110000,Manual,2014,21,5,Bangalore,6.95
SUV,2,2019,Petrol,Third Party insurance,37741,Manual,2019,15,5,Bangalore,9.3
Hatchback,1,2021,Petrol,Comprehensive,17367,Manual,2021,22,5,Bangalore,4.55
SUV,1,2017,Diesel,Comprehensive,94000,Manual,2017,19,6,Bangalore,11.95
SUV,1,2021,Diesel,Comprehensive,33700,Automatic,2021,14,6,Bangalore,21.75
Hatchback,3,2014,Petrol,Comprehensive,54601,Manual,2014,22,5,Bangalore,4.42
Hatchback,1,2018,Diesel,Third Party insurance,110000,Manual,2018,28,5,Bangalore,6.9
Hatchback,2,2017,Petrol,Third Party insurance,64000,Manual,2017,23,5,Bangalore,5.0
Sedan,1,2016,Diesel,Comprehensive,40525,Automatic,2016,21,8,Bangalore,33.95
Sedan,1,2015,Diesel,Third Party insurance,100000,Manual,2015,26,5,Bangalore,6.5
Hatchback,2,2016,Petrol,Comprehensive,44154,Automatic,2016,19,5,Bangalore,5.37
MUV,1,2016,Diesel,Third Party insurance,70000,Manual,2016,19,6,Bangalore,7.5
Sedan,1,2018,Petrol,Comprehensive,79000,Automatic,2018,15,7,Bangalore,17.9
Hatchback,2,2017,Petrol,Third Party insurance,68039,Manual,2017,23,5,Bangalore,4.68
Hatchback,2,2014,Petrol,Third Party insurance,60000,Manual,2014,18,5,Bangalore,4.2
Hatchback,2,2014,Petrol,Third Party insurance,60000,Manual,2014,18,5,Bangalore,4.2
