bt,ownerNo,modelYear,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City,price_in_lakhs
2,3,2015,4,4,120000,1,2015,23,5,0,4.0
7,2,2018,4,0,32706,1,2018,17,5,0,8.11
2,1,2018,4,0,11949,1,2018,23,5,0,5.85
8,1,2014,4,0,17794,1,2014,19,5,0,4.62
7,1,2015,1,4,60000,1,2015,23,5,0,7.9
7,1,2020,1,4,20000,1,2020,17,6,0,19.0
2,1,2017,4,0,37772,1,2017,20,5,0,3.45
7,1,2021,4,4,30000,0,2021,18,7,0,12.0
8,1,2018,4,0,37000,0,2018,20,4,0,9.6
2,1,2017,4,0,11949,1,2017,23,5,0,5.85
2,1,2018,4,4,50000,1,2018,21,5,0,6.9
2,1,2019,4,4,24887,0,2019,18,4,0,6.82
2,1,2018,4,0,23000,0,2018,18,5,0,8.25
2,1,2018,4,0,48928,0,2018,23,5,0,5.95
7,3,2014,1,0,108862,1,2014,15,6,0,6.9
7,1,2018,1,4,80000,1,2018,17,6,0,13.5
7,1,2022,1,0,16000,0,2022,19,8,0,55.95
2,2,2014,1,0,65376,1,2014,21,6,0,5.21
7,1,2022,4,4,10000,1,2022,17,6,0,10.05
8,2,2016,4,0,67000,1,2016,17,5,0,7.75
8,3,2011,1,4,100000,0,2011,18,6,0,22.0
2,1,2016,4,0,18083,1,2016,22,5,0,5.82
7,1,2020,4,4,30000,1,2020,16,5,0,10.9
2,2,2016,4,0,57634,1,2016,23,5,0,4.57
8,2,2016,4,4,50000,0,2016,7,7,0,49.0
8,1,2015,4,4,110000,1,2015,17,5,0,5.5
2,1,2018,4,0,23447,0,2018,20,5,0,5.7
2,2,2009,3,4,30000,1,2009,13,5,0,2.2
8,1,2017,4,0,33000,0,2017,15,9,0,41.45
7,2,2014,1,4,87667,1,2014,15,6,0,8.61
8,2,2016,1,4,40000,0,2016,17,8,0,17.85
7,2,2014,1,0,79012,1,2014,15,6,0,8.03
7,1,2021,1,0,31344,1,2021,17,6,0,25.65
8,1,2018,4,4,50000,1,2018,20,5,0,6.74
2,1,2015,4,0,12434,1,2015,20,5,0,3.49
4,2,2019,4,4,60000,1,2019,19,5,0,10.5
8,1,2019,1,0,12000,0,2019,12,9,0,44.25
2,2,2015,4,0,40987,1,2015,20,5,0,4.06
8,1,2020,4,5,18157,0,2020,15,8,0,49.65
7,3,2011,1,4,120000,1,2011,11,5,0,11.0
7,2,2020,1,4,40000,0,2020,19,6,0,11.0
2,1,2016,4,0,89667,1,2016,18,5,0,5.94
2,1,2017,1,4,120000,1,2017,22,6,0,7.1
2,1,2017,4,5,56997,1,2017,21,5,0,6.92
8,1,2013,4,4,120000,1,2013,16,6,0,6.5
8,1,2015,1,4,59000,0,2015,18,7,0,20.9
2,1,2021,4,5,18835,1,2021,22,5,0,4.11
7,2,2010,1,4,120000,1,2010,12,5,0,6.5
2,1,2016,4,0,40000,0,2016,17,7,0,36.75
2,1,2019,4,0,60932,1,2019,23,5,0,6.1
7,2,2020,4,0,33539,0,2020,16,7,0,16.75
2,2,2018,4,0,66837,1,2018,23,5,0,5.3
8,1,2022,1,4,400,0,2022,19,9,0,79.9
2,2,2008,4,4,60000,1,2008,19,5,0,2.5
2,1,2019,4,4,44285,1,2019,18,5,0,7.15
7,2,2014,1,4,100000,0,2014,11,7,0,35.0
7,1,2021,1,0,25000,0,2021,14,6,0,22.5
2,1,2018,4,0,36735,1,2018,18,5,0,6.25
7,1,2015,1,0,79000,0,2015,12,8,0,26.95
7,2,2010,1,4,120000,1,2010,12,5,0,6.5
2,1,2022,4,4,10000,0,2022,22,5,0,5.5
7,1,2018,1,0,53645,1,2018,21,6,0,8.25
2,2,2006,4,4,100000,1,2006,15,5,0,2.2
2,1,2014,4,0,53982,0,2014,26,5,0,4.28
8,1,2014,1,4,110000,1,2014,21,5,0,6.95
7,2,2019,4,4,37741,1,2019,15,5,0,9.3
2,1,2021,4,0,17367,1,2021,22,5,0,4.55
