bt,ownerNo,modelYear,price,Fuel Type,Insurance Validity,Kms Driven,Transmission,Year of Manufacture,Mileage,Gear Box,City
Hatchback,3,2015,₹ 4 Lakh,Petrol,Third Party insurance,120000 Kms,Manual,2015.0,23.1 kmpl,5 Speed ,Bangalore
SUV,2,2018,₹ 8.11 Lakh,Petrol,Comprehensive,32706 Kms,Manual,2018.0,17 kmpl,5 Speed,Bangalore
Hatchback,1,2018,₹ 5.85 Lakh,Petrol,Comprehensive,11949 Kms,Manual,2018.0,23.84 kmpl,5 Speed,Bangalore
Sedan,1,2014,₹ 4.62 Lakh,Petrol,Comprehensive,17794 Kms,Manual,2014.0,19.1 kmpl,5 Speed ,Bangalore
SUV,1,2015,₹ 7.90 Lakh,Diesel,Third Party insurance,60000 Kms,Manual,2015.0,23.65 kmpl,5 Speed,Bangalore
SUV,1,2020,₹ 19 Lakh,Diesel,Third Party insurance,20000 Kms,Manual,2020.0,17.1 kmpl,6 Speed,Bangalore
Hatchback,1,2017,₹ 3.45 Lakh,Petrol,Comprehensive,37772 Kms,Manual,2017.0,20.63 kmpl,5 Speed,Bangalore
SUV,1,2021,₹ 12 Lakh,Petrol,Third Party insurance,30000 Kms,Automatic,2021.0,18.15 kmpl,7-Speed,Bangalore
Sedan,1,2018,₹ 9.60 Lakh,Petrol,Comprehensive,37000 Kms,Automatic,2018.0,20.28 kmpl,4 Speed,Bangalore
Hatchback,1,2017,₹ 5.85 Lakh,Petrol,Comprehensive,11949 Kms,Manual,2017.0,23.84 kmpl,5 Speed,Bangalore
Hatchback,1,2018,₹ 6.90 Lakh,Petrol,Third Party insurance,50000 Kms,Manual,2018.0,21.4 kmpl,5 Speed,Bangalore
Hatchback,1,2019,₹ 6.82 Lakh,Petrol,Third Party insurance,24887 Kms,Automatic,2019.0,18.9 kmpl,4 Speed,Bangalore
Hatchback,1,2018,₹ 8.25 Lakh,Petrol,Comprehensive,23000 Kms,Automatic,2018.0,18.2 kmpl,5 Speed,Bangalore
Hatchback,1,2018,₹ 5.95 Lakh,Petrol,Comprehensive,48928 Kms,Automatic,2018.0,23.84 kmpl,5 Speed,Bangalore
SUV,3,2014,₹ 6.90 Lakh,Diesel,Comprehensive,108862 Kms,Manual,2014.0,15.1 kmpl,6 Speed ,Bangalore
SUV,1,2018,₹ 13.50 Lakh,Diesel,Third Party insurance,80000 Kms,Manual,2018.0,17.1 kmpl,6 Speed,Bangalore
