it,ft,bt,km,transmission,ownerNo,owner,model,modelYear,price,Engine Displacement,Fuel Type,Insurance Validity,Kms Driven,Ownership,RTO,Registration Year,Seats,Transmission,Year of Manufacture,Mileage,Engine,Max Power,Torque,Seats,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,BoreX Stroke,Compression Ratio,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Gear Box,Drive Type,Seating Capacity,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,Alloy Wheel Size,Ground Clearance Unladen,City
0,Petrol,Hatchback,"1,20,000",Manual,3,3rd Owner,Maruti Celerio,2015,₹ 4 Lakh,998 cc,Petrol,Third Party insurance,120000 Kms,Third Owner,KA51,2015,5 Seats,Manual,2015,23.1 kmpl,998 CC,67.04bhp@6000rpm,90Nm,5,White,K10B Engine,998,90Nm@3500rpm,3.0,4.0,DOHC,MPFi,73 X 82 mm,11.0:1,No,No,3715mm,1635mm,1565mm,2425mm,1420mm,1410mm,835kg,1250kg,5 Speed ,FWD,5,Power,4.7 metres,Ventilated Disc,Drum,150 Kmph,15.05 Seconds,"Tubeless, Radial",5,235-litres,,,,Bangalore
0,Petrol,SUV,"32,706",Manual,2,2nd Owner,Ford Ecosport,2018,₹ 8.11 Lakh,1497 cc,Petrol,Comprehensive,32706 Kms,Second Owner,KA05,Feb 2018,5 Seats,Manual,2018,17 kmpl,1497 CC,121.31bhp@6500rpm,150Nm,5,White,Ti-VCT Petrol Engine,1497,150Nm@4500rpm,3.0,4.0,DOHC,Direct Injection,79 X 76.5 mm,11.0:1,No,No,3998mm,1765mm,1647mm,2519mm,,,1242Kg,1660Kg,5 Speed,FWD,5,Power,5.3 metres,Ventilated Disc,Drum,,,"Tubeless,Radial",4,352-litres,16,16,,Bangalore
0,Petrol,Hatchback,"11,949",Manual,1,1st Owner,Tata Tiago,2018,₹ 5.85 Lakh,1199 cc,Petrol,Comprehensive,11949 Kms,First Owner,KA03,Sept 2018,5 Seats,Manual,2018,23.84 kmpl,1199 CC,84bhp@6000rpm,114Nm,5,Red,Revotron Engine,1199,114Nm@3500rpm,3.0,4.0,DOHC,MPFi,77 X 85.8 mm,10.8:1,No,No,3746mm,1647mm,1535mm,2400mm,1400mm,1420mm,1012kg,,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,150 kmph,14.3 Seconds,Tubeless,5,242-litres,14,14,,Bangalore
0,Petrol,Sedan,"17,794",Manual,1,1st Owner,Hyundai Xcent,2014,₹ 4.62 Lakh,1197 cc,Petrol,Comprehensive,17794 Kms,First Owner,KA53,Dec 2014,5 Seats,Manual,2014,19.1 kmpl,1197 CC,81.86bhp@6000rpm,113.75Nm,5,Others,Kappa VTVT Petrol Engine,1197,113.75Nm@4000rpm,4.0,4.0,DOHC,Direct Injection,,,No,No,3995mm,1660mm,1520mm,2425mm,1479mm,1493mm,1180,,5 Speed ,FWD ,5,Power,4.7 metres,Disc ,Drum,172km/hr,14.2 Seconds,"Tubeless,Radial",4,407-litres,14,14,,Bangalore
0,Diesel,SUV,"60,000",Manual,1,1st Owner,Maruti SX4 S Cross,2015,₹ 7.90 Lakh,1248 cc,Diesel,Third Party insurance,60000 Kms,First Owner,KA04,2015,5 Seats,Manual,2015,23.65 kmpl,1248 CC,88.5bhp@4000rpm,200Nm,5,Gray,DDiS 200 Diesel Engine,1248,200Nm@1750rpm,4.0,4.0,DOHC,,69.6 x 82 mm,,Yes,No,4300mm,1785mm,1595mm,2600mm,,,1230Kg,1670kg,5 Speed,FWD,5,Power,5.2 meters,Ventilated Disc,Solid Disc,190 Kmph,12 Seconds,"Tubeless,Radial",5,353-litres,16,16,,Bangalore
0,Diesel,SUV,"20,000",Manual,1,1st Owner,Jeep Compass,2020,₹ 19 Lakh,1956 cc,Diesel,Third Party insurance,20000 Kms,First Owner,KA04,2020,5 Seats,Manual,2020,17.1 kmpl,1956 CC,170bhp@3750rpm,350Nm,5,Others,2.0-Litre 4-Cyl Multijet II Engine,1956,350Nm@1750-2500rpm,4.0,4.0,DOHC,CRDI,,,Yes,No,4395mm,1818mm,1640mm,2636mm,,,1551 kgs,,6 Speed,4X2,5,power,,Disc,Discs,,,"Radial, Tubless",5,408-litres,17,17,,Bangalore
0,Petrol,Hatchback,"37,772",Manual,1,1st Owner,Datsun GO,2017,₹ 3.45 Lakh,1198 cc,Petrol,Comprehensive,37772 Kms,First Owner,KA05,Aug 2017,5 Seats,Manual,2017,20.63 kmpl,1198 CC,67bhp@5000rpm,104Nm,5,Grey,Petrol Engine,1198,104Nm@4000rpm,3.0,4.0,DOHC,Electronic Injection System,,,No,No,3785mm,1635mm,1490mm,2450mm,1440mm,1445mm,1070,,5 Speed,FWD,5,Power,4.6 metres, Disc,Drum,150 Kmph,13.3 Seconds,Tubeless,5,265-litres,,,,Bangalore
0,Petrol,SUV,"30,000",Automatic,1,1st Owner,Hyundai Venue,2021,₹ 12 Lakh,998 cc,Petrol,Third Party insurance,30000 Kms,First Owner,KA51,2021,5 Seats,Automatic,2021,18.15 kmpl,998 CC,118.35bhp@6000rpm,171.6Nm,5,Others,,998,171.6Nm@1500-4000rpm,3.0,4.0,,GDi,,,Yes,,3995 mm,1770 mm,1605 mm,2500 mm,,,1440,,7-Speed,FWD,5,Power,,Disc,Drum,,,Radial,5,350,16,16,190mm,Bangalore
0,Petrol,Sedan,"37,000",Automatic,1,1st Owner,Maruti Ciaz,2018,₹ 9.60 Lakh,1462 cc,Petrol,Comprehensive,37000 Kms,First Owner,KA03,Aug 2018,5 Seats,Automatic,2018,20.28 kmpl,1462 CC,103.25bhp@6000rpm,138Nm,5,Maroon,k15B VVT Engine,1462,138Nm@4400rpm,4.0,4.0,DOHC,MPFI,74 x 85 mm,,No,No,4490 mm,1730 mm,1485 mm,2650 mm,,,1105,1530Kg,4 Speed,FWD,5,Power,5.4 metres,Ventilated Disc,Drum,,,"Tubeless, Radial",4,510-litres,16,16,,Bangalore
0,Petrol,Hatchback,"11,949",Manual,1,1st Owner,Tata Tiago,2017,₹ 5.85 Lakh,1199 cc,Petrol,Comprehensive,11949 Kms,First Owner,KA03,Jan 2018,5 Seats,Manual,2017,23.84 kmpl,1199 CC,84bhp@6000rpm,114Nm,5,Red,Revotron Engine,1199,114Nm@3500rpm,3.0,4.0,DOHC,MPFi,77 X 85.8 mm,10.8:1,No,No,3746mm,1647mm,1535mm,2400mm,1400mm,1420mm,1012kg,,5 Speed,FWD,5,Power,4.9 meters,Disc,Drum,150 kmph,14.3 Seconds,Tubeless,5,242-litres,,,,Bangalore
